ISO_NO,AP2,AP3,flag
250,FR,FRA,fr.png
254,GF,GUF,gf.png
260,TF,ATF,tf.png
258,PF,PYF,pf.png
242,FJ,FJI,fj.png
246,FI,FIN,fi.png
608,PH,PHL,ph.png
612,PN,PCN,pn.png
334,HM,HMD,hm.png
348,HU,HUN,hu.png
344,HK,HKG,hk.png
